notification_id,founder_id,message,is_read,created_at
NTF-001,FND-030,A new review was posted on your application dashboard.,TRUE,2026-08-11
NTF-002,FND-003,Congratulations! Your app was featured in today's top list.,FALSE,2026-08-11
NTF-003,FND-014,New partnership recommendation generated by LaunchMesh AI.,TRUE,2026-07-03
NTF-004,FND-002,An analytics report is ready for your review.,FALSE,2026-07-08
NTF-005,FND-004,Your growth pact proposal has been accepted!,TRUE,2026-07-25
NTF-006,FND-015,An analytics report is ready for your review.,FALSE,2026-08-07
NTF-007,FND-024,Your growth pact proposal has been accepted!,FALSE,2026-08-11
NTF-008,FND-004,Congratulations! Your app was featured in today's top list.,FALSE,2026-08-30
NTF-009,FND-009,New partnership recommendation generated by LaunchMesh AI.,FALSE,2026-07-14
NTF-010,FND-015,Congratulations! Your app was featured in today's top list.,TRUE,2026-08-24
NTF-011,FND-012,New partnership recommendation generated by LaunchMesh AI.,FALSE,2026-08-04
NTF-012,FND-029,An analytics report is ready for your review.,TRUE,2026-07-26
NTF-013,FND-009,Your growth pact proposal has been accepted!,TRUE,2026-08-30
NTF-014,FND-028,Congratulations! Your app was featured in today's top list.,TRUE,2026-08-12
NTF-015,FND-007,A new review was posted on your application dashboard.,TRUE,2026-07-04
NTF-016,FND-026,An analytics report is ready for your review.,TRUE,2026-07-09
NTF-017,FND-026,A new review was posted on your application dashboard.,TRUE,2026-07-05
NTF-018,FND-027,A new review was posted on your application dashboard.,TRUE,2026-08-07
NTF-019,FND-007,Your growth pact proposal has been accepted!,FALSE,2026-08-19
NTF-020,FND-005,A new review was posted on your application dashboard.,TRUE,2026-07-18
NTF-021,FND-028,Your growth pact proposal has been accepted!,TRUE,2026-08-04
NTF-022,FND-009,Your growth pact proposal has been accepted!,TRUE,2026-08-12
NTF-023,FND-028,New partnership recommendation generated by LaunchMesh AI.,TRUE,2026-07-01
NTF-024,FND-012,Your growth pact proposal has been accepted!,FALSE,2026-07-02
NTF-025,FND-006,An analytics report is ready for your review.,TRUE,2026-07-09
NTF-026,FND-024,Congratulations! Your app was featured in today's top list.,TRUE,2026-08-17
NTF-027,FND-003,Congratulations! Your app was featured in today's top list.,FALSE,2026-08-19
NTF-028,FND-012,A new review was posted on your application dashboard.,TRUE,2026-07-29
NTF-029,FND-017,Your growth pact proposal has been accepted!,TRUE,2026-08-16
NTF-030,FND-026,A new review was posted on your application dashboard.,FALSE,2026-07-30
NTF-031,FND-021,New partnership recommendation generated by LaunchMesh AI.,TRUE,2026-07-31
NTF-032,FND-028,Congratulations! Your app was featured in today's top list.,FALSE,2026-08-13
NTF-033,FND-004,Congratulations! Your app was featured in today's top list.,FALSE,2026-07-05
NTF-034,FND-029,New partnership recommendation generated by LaunchMesh AI.,FALSE,2026-08-08
NTF-035,FND-005,New partnership recommendation generated by LaunchMesh AI.,TRUE,2026-07-18
NTF-036,FND-020,A new review was posted on your application dashboard.,FALSE,2026-07-25
NTF-037,FND-020,A new review was posted on your application dashboard.,FALSE,2026-07-30
NTF-038,FND-017,A new review was posted on your application dashboard.,FALSE,2026-07-07
NTF-039,FND-026,New partnership recommendation generated by LaunchMesh AI.,TRUE,2026-07-28
NTF-040,FND-015,Your growth pact proposal has been accepted!,FALSE,2026-07-22
NTF-041,FND-027,Congratulations! Your app was featured in today's top list.,FALSE,2026-07-27
NTF-042,FND-024,New partnership recommendation generated by LaunchMesh AI.,FALSE,2026-07-28
NTF-043,FND-011,An analytics report is ready for your review.,FALSE,2026-07-10
NTF-044,FND-022,Congratulations! Your app was featured in today's top list.,TRUE,2026-07-06
NTF-045,FND-027,New partnership recommendation generated by LaunchMesh AI.,TRUE,2026-07-28
NTF-046,FND-004,An analytics report is ready for your review.,TRUE,2026-08-05
NTF-047,FND-002,A new review was posted on your application dashboard.,FALSE,2026-08-12
NTF-048,FND-004,Congratulations! Your app was featured in today's top list.,FALSE,2026-08-25
NTF-049,FND-022,Congratulations! Your app was featured in today's top list.,TRUE,2026-07-19
NTF-050,FND-020,An analytics report is ready for your review.,FALSE,2026-07-07
